Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Pins,Layer,Rotation,SMD,Comment
C1,220nF,C0603,48.133mm,-21.209mm,48.133mm,-21.209mm,47.433mm,-21.209mm,2,T,0,Yes,220nF
R1,47Ω,R0603,48.006mm,-27.94mm,48.006mm,-27.94mm,47.253mm,-27.94mm,2,T,0,Yes,47Ω
U2,Antenna,25X48MM_NFC_ANTENNA,63.627mm,-25.019mm,75.057mm,-25.019mm,61.722mm,-25.654mm,2,T,90,Yes,Antenna
LED1,KT-0805Y,LED0805-R-RD,9.144mm,-25.146mm,9.144mm,-25.146mm,10.194mm,-25.146mm,2,T,0,Yes,KT-0805Y
U1,NT3H2111W0FHKH,XQFN-8_L1.6-W1.6-P0.50-BL_NT3H2111W0FHKH,47.879mm,-24.892mm,47.879mm,-24.892mm,47.279mm,-24.392mm,8,T,0,Yes,13.56MHz
